session_id;item_user_id;creationdate;duration;pausetime;distance;avgspeed;maxspeed;minspeed;avgbpm;maxbpm;minbpm;avgaltitude;maxaltitude;minaltitude;calories;isafitresult;user_birthdate;user_gender;user_lastlogin;user_consent;user_is_tester;mark;accuracy
245258;12747;26/05/2016 13:10;517;35;14.752.000.427.246.000;1.101.600.006.222.720;10.713.600.274.175.400;0;0;0;0;0;0;0;6;1;02/01/2001;M;24/07/2018 13:42;1;1;4;0.093507671
255371;12931;11/05/2018 11:18;2114;0;578.104.541.015.625;9.844.732.013.511.110;3.532.524.108.886.710;0.7527604103088379;0;0;0;0;186.6;93;312;0;06/10/1985;F;27/04/2018 15:28;1;0;5;0.373616097
255391;269;11/05/2018 04:36;2503;0;801.908.740.234.375;11.533.645.484.793.200;3.214.486.312.866.210;0.11060052365064621;0;0;0;0;20.556.731.907.584.600;149.408.686.705.067;570;0;08/14/1971;M;02/06/2018 04:31;1;0;4;0.779136264
255279;7692;11/05/2018 09:16;2043;0;494.865.576.171.875;8.720.098.258.535.240;2.027.583.122.253.410;2.107.875.108.718.870;0;0;0;0;43.767.893.272.797.900;424.891.110.521.145;258;0;01/06/1981;F;20/01/2018 19:54;1;0;3;0.867932772
255815;7108;11/05/2018 11:44;2114;381;602.425.927.734.375;10.258.908.892.354.500;2.662.429.428.100.580;0.4962548017501831;0;0;0;0;10.448.912.297.468.600;6.248.617.472.592.740;407;0;06/22/1958;M;25/12/2017 18:01;1;0;4;0.232671133
248047;7691;11/05/2018 16:14;3712;3731;97.359.169.921.875;9.442.160.876.043.910;1.742.369.270.324.700;0.1975902020931244;0;0;0;0;124;43;570;0;09/03/1971;F;15/05/2018 15:02;1;0;3;0.918026508
255739;2004;11/05/2018 17:46;3072;73;768.039.013.671.875;9.215.999.767.184.250;0;0;165;179;0;0;0;0;496;1;08/24/1980;F;29/05/2018 16:44;1;0;4;0.175887105
255851;12508;11/05/2018 15:50;4214;0;13.226.780.266.761.200;11.299.574.978.723.300;0;0;0;0;0;2.337.364.989.745.120;12.414.307.542.412.600;7.739.577.562.922.430;821;0;01/09/1976;M;08/05/2018 07:10;1;0;4;0.023442986
255777;13022;11/05/2018 15:38;2872;0;6.649.658.106.605.470;8.335.226.038.920.500;0;0;0;0;0;12.638.507.449.705.100;10.334.466.855.541.600;7.806.765.365.600.580;341;0;10/21/1976;F;07/05/2018 09:55;1;0;2;0.270714072
255796;12752;11/05/2018 15:12;2019;0;5.598.865.481.615.310;998.311.824.359.343;0;0;0;0;0;12.334.963.405.693.800;7.438.556.874.443.220;7.413.886.947.631.830;423;0;07/15/1989;M;10/04/2018 21:42;1;0;4;0.664060292
254237;418;11/05/2018 17:59;4980;0;145.911.240.234.375;10.547.800.498.870.400;25.772.789.001.464.800;0.0014064990682527423;0;0;0;0;72;39;827;0;05/03/1983;M;25/04/2018 13:07;1;0;5;0.058970609
256276;11545;12/05/2018 06:32;2072;3;4.005.533.203.125;6.959.420.623.190.150;27.755.508.422.851.500;0.018348056823015213;0;0;0;0;16.506.233.635.469.600;15.963.196.021.572.200;256;0;01/18/1978;F;18/07/2018 20:01;1;0;3;0.501359178
256277;11545;13/05/2018 05:35;5242;0;801.527.978.515.625;5.504.579.783.777.660;14.783.988.952.636.700;0.190865159034729;0;0;0;0;23.401.968.568.631.600;1.485.340.101.060.360;512;0;01/18/1978;F;18/07/2018 20:01;1;0;5;0.817691865
201825;11364;13/05/2018 06:26;5623;0;94.196.142.578.125;6.030.697.372.954.820;2.363.020.133.972.160;0.0011413093889132142;0;0;0;0;265;230;492;0;06/01/1967;F;06/05/2018 10:36;1;0;4;0.827099305
