hr_item_id,w_item_id,w_activity_result_id,rate,time,deleted
53869,21718,118542,74,1456153540991,0
53870,21718,118542,74,1456153541965,0
53871,21718,118542,74,1456153542988,0
53872,21718,118542,74,1456153544013,0
53873,21718,118542,74,1456153544987,0
53874,21718,118542,76,1456153545965,0
53875,21718,118542,76,1456153546986,0
53876,21718,118542,76,1456153548008,0
53877,21718,118542,76,1456153548984,0
53878,21718,118542,75,1456153550009,0
53879,21718,118542,75,1456153550984,0
53880,21718,118542,77,1456153552006,0
53881,21718,118542,77,1456153553032,0
53882,21718,118542,76,1456153554008,0
53883,21718,118542,76,1456153555032,0
53884,21718,118542,77,1456153556007,0
53885,21718,118542,77,1456153557030,0
53886,21718,118542,74,1456153558054,0
53887,21718,118542,74,1456153559029,0
53888,21718,118542,72,1456153559955,0
53889,21718,118542,72,1456153561028,0
53890,21718,118542,72,1456153562003,0
53891,21718,118542,72,1456153563026,0
53892,21718,118542,71,1456153563998,0
53893,21718,118542,71,1456153564973,0
53894,21718,118542,70,1456153565998,0
53895,21718,118542,70,1456153567024,0
53896,21718,118542,72,1456153568049,0
53897,21718,118542,72,1456153569023,0
53898,21718,118542,74,1456153570046,0
53899,21718,118542,74,1456153570972,0
53900,21718,118542,74,1456153571996,0
53901,21718,118542,74,1456153572969,0
53902,21718,118542,74,1456153573995,0
53903,21718,118542,74,1456153575018,0
53904,21718,118542,74,1456153575991,0
53905,21718,118542,74,1456153577017,0
53906,21718,118542,74,1456153577942,0
53907,21718,118542,74,1456153578964,0
53908,21718,118542,74,1456153580036,0
53909,21718,118542,74,1456153581012,0
53910,21718,118542,74,1456153582037,0
53911,21718,118542,74,1456153583011,0
53912,21718,118542,74,1456153583990,0
53913,21718,118542,74,1456153584961,0
53914,21718,118542,73,1456153586037,0
53915,21718,118542,73,1456153587011,0
53916,21718,118542,76,1456153588035,0
53917,21718,118542,76,1456153588959,0
53918,21718,118542,78,1456153590034,0
53919,21718,118542,78,1456153590957,0
53920,21718,118542,81,1456153591984,0
53921,21718,118542,81,1456153593054,0
53922,21718,118542,85,1456153593983,0
53923,21718,118542,85,1456153594957,0
53924,21718,118542,87,1456153596027,0
53925,21718,118542,87,1456153597054,0
53926,21718,118542,90,1456153597978,0
53927,21718,118542,90,1456153598952,0
53928,21718,118542,94,1456153600028,0
53929,21718,118542,94,1456153601001,0
53930,21718,118542,95,1456153602024,0
53931,21718,118542,95,1456153602952,0
53932,21718,118542,96,1456153603973,0
53933,21718,118542,96,1456153604997,0
53934,21718,118542,97,1456153605973,0
53935,21718,118542,97,1456153606949,0
53936,21718,118542,100,1456153608023,0
53937,21718,118542,100,1456153608952,0
53938,21718,118542,102,1456153610022,0
53939,21718,118542,102,1456153610995,0
53940,21718,118542,104,1456153612020,0
53941,21718,118542,104,1456153612995,0
53942,21718,118542,107,1456153613967,0
53943,21718,118542,107,1456153615040,0
53944,21718,118542,111,1456153616018,0
53945,21718,118542,111,1456153617041,0
53946,21718,118542,110,1456153618014,0
53947,21718,118542,110,1456153619037,0
53948,21718,118542,114,1456153620012,0
53949,21718,118542,114,1456153621038,0
53950,21718,118542,117,1456153622011,0
53951,21718,118542,117,1456153623038,0
53952,21718,118542,118,1456153624009,0
53953,21718,118542,118,1456153625036,0
53954,21718,118542,122,1456153626009,0
53955,21718,118542,122,1456153627035,0
53956,21718,118542,124,1456153628008,0
53957,21718,118542,124,1456153629033,0
53958,21718,118542,123,1456153629957,0
53959,21718,118542,123,1456153630984,0
53960,21718,118542,126,1456153632008,0
53961,21718,118542,126,1456153633029,0
53962,21718,118542,128,1456153634054,0
53963,21718,118542,128,1456153634979,0
53964,21718,118542,131,1456153636004,0
53965,21718,118542,131,1456153636977,0
