activity_results_id,workout_activity_id,workout_item_id,distancedone,speeddone,timedone,deleted,wactivity_id,wactivity_repetition_id,wactivity_type,wactivity_time,wactivity_distance,wactivity_speed,wactivity_label,wactivity_comment,wactivity_read_comment,wactivity_pace,wactivity_percentage,wactivity_seq,wactivity_deleted
118542,126719,21718,557.692560561467,6.692310726737603,300000,0,126719,123054,TIME,300,0,NULL,RUNNING,"Corsa lenta di riscaldamento",1,0,0,1,0
118543,126720,21718,117.3224311163649,1.4078691733963788,300000,0,126720,123055,TIME,300,0,NULL,REST,Stretching,1,0,0,1,0
118544,126721,21718,2939.1199840456247,8.817359952136874,1200000,0,126721,123056,TIME,1200,0,NULL,RUNNING,,1,0,0,1,0
118545,126733,21718,601.6279249489307,8.333470039577492,259899,0,126733,123067,EXTRA,0,0,0,UNKNOWN,,1,0,100,1,0
145468,140248,25694,2467.548851698637,9.870195406794547,900000,0,140248,136327,TIME,900,0,NULL,RUNNING,"Inizia gradualmente, continua al tuo solito passo",1,0,0,1,0
145469,140249,25694,91.39327148906887,1.8278654297813772,180000,0,140249,136328,TIME,180,0,NULL,REST,"recupera e fai allungamento",1,0,0,1,0
145470,140250,25694,1817.953503549099,10.907721021294593,600000,0,140250,136329,TIME,600,0,NULL,RUNNING,"fai degli allunghi alternati a corsetta di recupero",1,0,0,1,0
145471,140251,25694,74.8396359430626,0.8980756313167513,300000,0,140251,136330,TIME,300,0,NULL,REST,"recupera al passo e fai allungamento",1,0,0,1,0
145472,140252,25694,1190.64102768898,11.906410276889801,360000,0,140252,136331,TIME,360,0,NULL,RUNNING,"corri al passo più veloce che riesci a mantenere per 6 minuti",1,0,0,1,0
145473,140253,25694,56.136166494339705,1.122723329886794,180000,0,140253,136332,TIME,180,0,NULL,REST,"recupera al passo, fermati e fai allungamento",1,0,0,1,0
145474,140254,25694,2263.279596567154,9.053118386268615,900000,0,140254,136333,TIME,900,0,NULL,RUNNING,"corri per defaticare",1,0,0,1,0
145475,140255,25694,138.6943984851241,4.160831954553723,120000,0,140255,136334,TIME,120,0,NULL,REST,"per oggi abbiamo finito, recupera al passo e fai allungamento",1,0,0,1,0
145476,140273,25694,3.313381209038198,0.09728468369508048,122611,0,140273,136350,EXTRA,0,0,0,UNKNOWN,,1,0,100,1,0
146799,140256,25853,1541.9819309711456,9.251891585826874,600000,0,140256,136335,TIME,600,0,NULL,RUNNING,,1,0,0,1,0
146800,140257,25853,44.77160743996501,0.8954321487993002,180000,0,140257,136336,TIME,180,0,NULL,REST,"recupera e fai allungamento",1,0,0,1,0
146801,140258,25853,1724.4756257981062,10.346853754788636,600000,0,140258,136337,TIME,600,0,NULL,RUNNING,"fai degli allunghi alternati a corsetta di recupero",1,0,0,1,0
146802,140259,25853,130.40459934901446,2.6080919869802894,180000,0,140259,136338,TIME,180,0,NULL,REST,,1,0,0,1,0
146803,140260,25853,408.26581251621246,12.247974375486374,120000,0,140260,136339,TIME,120,0,NULL,RUNNING,"riprendi la corsa aumenta gradualmente il passo, mantieni una velocità sostenuta",1,0,0,1,0
146804,140261,25853,165.9757274389267,9.958543646335603,60000,0,140261,136339,TIME,60,0,NULL,RUNNING,"vai al tuo solito passo",1,0,0,2,0
146805,140260,25853,401.9458156824112,12.058374470472335,120000,0,140260,136339,TIME,120,0,NULL,RUNNING,"riprendi la corsa aumenta gradualmente il passo, mantieni una velocità sostenuta",1,0,0,1,0
146806,140261,25853,161.09939020872116,9.66596341252327,60000,0,140261,136339,TIME,60,0,NULL,RUNNING,"vai al tuo solito passo",1,0,0,2,0
